Retrieved by E4-util: 2012/01/16,13:56:13                            1 0  0    0
 4.009000+3 8.934761+0         -1          0          0          1 409 1451    1
 0.000000+0 0.000000+0          0          0          0          6 409 1451    2
 9.991673-1 1.130000+8          1          0      10010          7 409 1451    3
 0.000000+0 0.000000+0          0          0         10         17 409 1451    4
  4-Be-  9 LANL       EVAL-NOV88 P.G.Young, E.D.Arthur             409 1451    5
                      DIST-DEC06 REV1-                 20111222    409 1451    6
----ENDF/B-VII.1      MATERIAL  409         REVISION 1             409 1451    7
-----INCIDENT PROTON DATA                                          409 1451    8
------ENDF-6 FORMAT                                                409 1451    9
                                                                   409 1451   10
 REFERENCE: P. G. Young, E. D. Arthur, et al, "Transport Data      409 1451   11
 Libraries for Incident Proton and Neutron Energies to 100 Mev,"   409 1451   12
 Los Alamos National Laboratory report LA-11753-MS (July 1990).    409 1451   13
 5.000000-1 1.152896-1 5.735764-1 1.994547-1 6.427876-1 4.117601-1 409 6  2  107
 7.071068-1 7.797028-1 7.660445-1 1.311849+0 8.191521-1 1.977422+0 409 6  2  108
 8.660254-1 2.669257+0 9.063078-1 3.111014+0 9.396926-1 2.552112+0 409 6  2  109
 9.659258-1-1.486994+0 9.848078-1-2.069015+1                       409 6  2  110
 0.000000+0 1.200000+7         12          0         70         35 409 6  2  111
-1.000000+0 4.106192-1-9.961947-1 3.941407-1-9.848077-1 3.790416-1 409 6  2  112
-9.659258-1 3.566299-1-9.396926-1 3.306478-1-9.063078-1 3.049297-1 409 6  2  113
-8.660254-1 2.828938-1-8.191520-1 2.670072-1-7.660444-1 2.583552-1 409 6  2  114
-7.071068-1 2.570912-1-6.427876-1 2.624678-1-5.735764-1 2.737474-1 409 6  2  115
-5.000000-1 2.904367-1-4.226182-1 3.123082-1-3.420201-1 3.392093-1 409 6  2  116
-2.588190-1 3.700642-1-1.736481-1 4.025961-1-8.715571-2 4.320407-1 409 6  2  117
 2.679490-8 4.519987-1 8.715577-2 4.544425-1 1.736482-1 4.329740-1 409 6  2  118
 2.588191-1 3.849746-1 3.420202-1 3.156295-1 4.226183-1 2.412350-1 409 6  2  119
 5.000000-1 1.903558-1 5.735764-1 2.037683-1 6.427876-1 3.290143-1 409 6  2  120
 7.071068-1 6.123832-1 7.660445-1 1.085685+0 8.191521-1 1.747574+0 409 6  2  121
 8.660254-1 2.534596+0 9.063078-1 3.257675+0 9.396926-1 3.405681+0 409 6  2  122
 9.659258-1 1.328652+0 9.848078-1-1.073728+1                       409 6  2  123
 0.000000+0 1.400000+7         12          0         70         35 409 6  2  124
-1.000000+0 2.671999-1-9.961947-1 2.631216-1-9.848077-1 2.600171-1 409 6  2  125
-9.659258-1 2.550117-1-9.396926-1 2.481824-1-9.063078-1 2.395622-1 409 6  2  126
-8.660254-1 2.288814-1-8.191520-1 2.159787-1-7.660444-1 2.009054-1 409 6  2  127
-7.071068-1 1.844843-1-6.427876-1 1.684716-1-5.735764-1 1.559500-1 409 6  2  128
-5.000000-1 1.508487-1-4.226182-1 1.573449-1-3.420201-1 1.786913-1 409 6  2  129
-2.588190-1 2.161252-1-1.736481-1 2.673023-1-8.715571-2 3.258415-1 409 6  2  130
 2.679490-8 3.816331-1 8.715577-2 4.222431-1 1.736482-1 4.355451-1 409 6  2  131
